customer_id,customer_name,phone,age,age_group,gender
C00001,徐敏,13861916734,43,31-45岁,男
C00002,张军,13854266578,32,31-45岁,女
C00003,刘磊,13826851769,63,60岁以上,女
C00004,王敏,13879493433,48,46-60岁,男
C00005,徐秀英,13873969666,24,19-30岁,女
C00006,李霞,13888493047,18,13-18岁,男
C00007,黄芳,13837344005,22,19-30岁,男
C00008,张娜,13887342267,5,0-12岁,女
C00009,刘磊,13863939792,37,31-45岁,女
C00010,吴平,13894338513,25,19-30岁,男
C00011,张秀英,13817759226,24,19-30岁,女
C00012,刘秀英,13825854943,68,60岁以上,女
C00013,黄磊,13848438989,10,0-12岁,男
C00014,赵霞,13878736675,28,19-30岁,女
C00015,陈伟,13886292016,38,31-45岁,女
C00016,马丽,13888927863,50,46-60岁,女
C00017,孙娟,13858597331,77,60岁以上,女
C00018,杨军,13882086276,54,46-60岁,女
C00019,王强,13862586618,22,19-30岁,女
C00020,马勇,13868924561,46,46-60岁,男
C00021,李娜,13882153454,7,0-12岁,女
C00022,黄敏,13899963731,54,46-60岁,女
C00023,杨艳,13891104840,33,31-45岁,女
C00024,周军,13815027910,53,46-60岁,男
C00025,马芳,13888581863,32,31-45岁,女
C00026,孙涛,13897556116,17,13-18岁,女
C00027,吴敏,13878922678,31,31-45岁,女
C00028,胡杰,13820597668,41,31-45岁,男
C00029,李秀英,13836934627,20,19-30岁,男
C00030,陈平,13864502663,25,19-30岁,女
C00031,胡艳,13883922306,29,19-30岁,男
C00032,周强,13868648526,47,46-60岁,男
C00033,孙娜,13816632998,11,0-12岁,男
C00034,张磊,13824954304,85,60岁以上,男
C00035,马洋,13822914581,34,31-45岁,女
C00036,李磊,13885548280,34,31-45岁,男
C00037,朱敏,13818549164,33,31-45岁,男
C00038,黄军,13875286249,41,31-45岁,女
C00039,赵艳,13859314510,70,60岁以上,女
C00040,王艳,13852189958,5,0-12岁,女
C00041,杨强,13881252930,41,31-45岁,女
C00042,徐军,13872879800,34,31-45岁,男
C00043,孙娜,13816593811,69,60岁以上,女
C00044,周丽,13875462986,36,31-45岁,女
C00045,吴磊,13896803976,22,19-30岁,男
C00046,王涛,13876943385,30,19-30岁,女
C00047,黄军,13865345061,56,46-60岁,女
C00048,胡秀英,13812627287,50,46-60岁,女
C00049,刘勇,13830496423,59,46-60岁,女
C00050,朱芳,13855484108,80,60岁以上,女
C00051,刘芳,13832552154,24,19-30岁,女
C00052,马勇,13871972648,19,19-30岁,男
C00053,黄军,13835576592,39,31-45岁,女
C00054,李强,13839615973,50,46-60岁,女
C00055,胡霞,13893526699,53,46-60岁,男
C00056,胡勇,13859114987,58,46-60岁,男
C00057,刘明,13857355555,50,46-60岁,女
C00058,黄涛,13844462045,52,46-60岁,男
C00059,王军,13868954354,33,31-45岁,男
C00060,王磊,13858938022,41,31-45岁,女
C00061,孙秀英,13886835642,46,46-60岁,女
C00062,吴军,13886799208,19,19-30岁,女
C00063,孙霞,13820603327,5,0-12岁,男
C00064,黄霞,13813011606,30,19-30岁,女
C00065,黄艳,13819803975,26,19-30岁,女
C00066,刘静,13843274394,48,46-60岁,男
C00067,吴明,13815696442,47,46-60岁,女
C00068,李芳,13848638455,36,31-45岁,女
C00069,朱敏,13824091784,11,0-12岁,女
C00070,王丽,13885608343,21,19-30岁,女
C00071,马娟,13828419716,22,19-30岁,男
C00072,周娜,13839508992,5,0-12岁,女
C00073,黄杰,13870027614,24,19-30岁,男
C00074,周涛,13869191853,32,31-45岁,男
C00075,吴军,13857774854,37,31-45岁,男
C00076,吴伟,13834914124,37,31-45岁,男
C00077,徐敏,13858691876,34,31-45岁,男
C00078,徐秀英,13851427966,44,31-45岁,男
C00079,马军,13861779932,11,0-12岁,男
C00080,马勇,13869493838,5,0-12岁,男
C00081,李洋,13815128805,28,19-30岁,男
C00082,黄丽,13846728404,37,31-45岁,男
C00083,赵伟,13891304147,73,60岁以上,女
